	title	artist	album	albumArtist	likeStatus	averageRating	albumYear	albumType	duration_seconds
x3IB5L0UgTk	(What A) Wonderful World	Sam Cooke	30 Greatest Hits: Portrait of a Legend 1951-1964	Sam Cooke	LIKE		1960.0	Album	
CxHP9UjN170	(What A) Wonderful World	Sam Cooke	The Man Who Invented Soul	Sam Cooke	INDIFFERENT	4.7825403	2000.0	Album	
JwDcAnwFOVU	Blah Blah Blah	Say Hi	Impeccable Blahs	Say Hi	LIKE	4.4894991	2006.0	Album	
ZCzlsXqvgjw	Cumbersome	Seven Mary Three	American Standard	Seven Mary Three	LIKE		1995.0	Album	236.0
JKCVAXhVMkY	Homeward Bound	Simon & Garfunkel	Parsley, Sage, Rosemary And Thyme	Simon & Garfunkel	LIKE		1966.0	Album	
4c87TeR7Evs	Homeward Bound	Simon & Garfunkel	Parsley, Sage, Rosemary And Thyme	Simon & Garfunkel	LIKE		1966.0	Album	
TU02G4wnWh0	Everyday People	Sly & The Family Stone	Stand	Sly & The Family Stone	LIKE	4.4561906	1969.0	Album	
cjfheD_c29w	Dance To The Music (Live at The Woodstock Music & Art Fair, August 17, 1969)	Sly & The Family Stone	Woodstock Sunday August 17, 1969 (Live)	Sly & The Family Stone	LIKE		2019.0	Album	
zp32JdgG6hg	I Second That Emotion (Single Version / Mono)	Smokey Robinson & The Miracles	20th Century Masters: The Millennium Collection: Best Of Smokey Robinson & The Miracles	Smokey Robinson	LIKE		1999.0	Album	
O5wC-jA4vmA	I Second That Emotion (Single Version / Mono)	Smokey Robinson & The Miracles	The Definitive Collection	Smokey Robinson	LIKE	4.5571094	2004.0	Album	
j8-HVeKr3Gk	Driver's Seat	Sniff 'n' the Tears	Ace Records 40th Anniversary	Various Artists	LIKE		2015.0	Album	220.0
90eoJnBmvTE	Driver's Seat	Sniff 'n' the Tears	The Chiswick Story	Various Artists	INDIFFERENT		2013.0	Album	
wy3ugz4S2y0	Death Letter Blues	Son House	Father Of The Delta Blues (The Complete 1965 Sessions)	Son House	LIKE		1992.0	Album	
149RjCpglYI	Death Letter Blues	Son House	Father Of The Delta Blues (The Complete 1965 Sessions)	Son House	LIKE	4.826087	1992.0	Album	
BysXQ1DaLqI	Death Letter Blues	Son House	Martin Scorsese Presents The Blues: Son House	Son House	LIKE		2003.0	Album	260.0
5s4MrfTOrpQ	Death Letter Blues	Son House	On The Road [Original Motion Picture Soundtrack]	Various Artists	LIKE		2012.0	Album	208.0
BbCFDd5y8oA	Death Letter Blues	Son House	The Delta Blues Of Son House	Son House	LIKE		2009.0	Album	
bsgFo2irGjo	Death Letter Blues	Son House	The Original Delta Blues (Mojo Workin': Blues For The Next Generation)	Son House	INDIFFERENT		1998.0	Album	
KTRO7pBgUCQ	Cool For Cats	Squeeze	Singles - 45's And Under	Squeeze	LIKE		1982.0	Album	195.0
5hGmqpQ_vkA	Peg	Steely Dan	Aja	Steely Dan	LIKE		1977.0	Album	
MXupeS9hv70	Peg	Steely Dan	Aja	Steely Dan	LIKE		1977.0	Album	240.0
n16_E4soolQ	Peg	Steely Dan	Showbiz Kids: The Steely Dan Story 1972-1980	Steely Dan	LIKE	4.6625309	2000.0	Album	
590TbVePgNE	Rainy Day Mushroom Pillow	Strawberry Alarm Clock	Anthology	Strawberry Alarm Clock	LIKE	3.8936169	1993.0	Album	
