	title	trackCount	privacy	id
237	xr foreignrap radio	25.0		PLWptjpDqazOzjYZVOFq_e_A3nlSdFe8vI
255	xr elitistclassical radio	188.0		PLWptjpDqazOyetngsnZ2VzowlZXxukoND
158	xr ebm radio	66.0		PLWptjpDqazOwpHlxWPJr_L2AA2AZJMBZL
256	xr earlymusic radio	115.0		PLWptjpDqazOxKIR0H7XI2WJX93ETUK19B
215	xr dubstep radio	103.0		PLWptjpDqazOxSCjjEnRl9Z_kV5cbW7qpJ
327	xr dub radio	278.0		PLWptjpDqazOwYsCElIZjB0xDNISxWV0Uo
159	xr dub albums	260.0		PLWptjpDqazOyTC6_TwBwJMp1QNX6yWhnR
161	xr downtempo radio	66.0		PLWptjpDqazOyCoplKHb3_uIKqXWnDNSZ0
114	xr downtempo	20.0		PLWptjpDqazOzIAZkFghCnH7e-T2Qwa-Ed
328	xr disco radio	583.0		PLWptjpDqazOy5cXW_SA9k-INzanG6N8JG
257	xr disco	77.0		PLWptjpDqazOzD0k8DzLvbR3s5dGVAzSoO
117	xr desertblues	19.0		PLWptjpDqazOzatNNkiK7xXYwdeay5YG99
313	xr deephouse radio	807.0		PLWptjpDqazOzYSVHOH6103EV9A-xp9PaJ
25	xr deepcuts	136.0		PLWptjpDqazOznA53pIVMHv9rWDerijlgt
258	xr darkjazz radio	47.0		PLWptjpDqazOwswjQ8WLlW2a5LXTzkZPZ4
259	xr dancepunk	32.0		PLWptjpDqazOzGvfDplNzfUaqG18n7NqjD
127	xr cyberpunk-music radio	95.0		PLWptjpDqazOxQjgbalVEjSNchjOGMYZbB
260	xr contemporary radio	70.0		PLWptjpDqazOxN9FUWDfbC3wbRLcqyeEW4
163	xr complextro radio	114.0		PLWptjpDqazOwfxHwRllkhiBGi_dwpTZQe
261	xr choralmusic radio	44.0		PLWptjpDqazOzHJTYUkpPkF3WMX0n-8sj7
136	xr chillwave radio	696.0		PLWptjpDqazOzC5eck1Ifq-33m5ce_i8iQ
318	xr chillwave albums	262.0		PLWptjpDqazOx7zES4ZLvYXiSDhWYLDIw-
5	xr chillwave	376.0		PLWptjpDqazOxbNvaT6XpFErXsFQZ4JCF6
164	xr chillmusic albums	210.0		PLWptjpDqazOylAeE0dryTfPVewK6JFI8L
113	xr chillmusic	708.0	PUBLIC	PLWptjpDqazOw_tv3IeZpMs7pSG-E7-dDF
350	xr chicagohouse radio	92.0		PLWptjpDqazOzwOd5TBZvCFqkwH5hcuMbu
262	xr celticpunk radio	69.0		PLWptjpDqazOwrY-pP5Qd68LHhcq91qC-e
166	xr brazilianmusic radio	149.0		PLWptjpDqazOyhEW7o45qjxJG1HzAs-HF_
202	xr bossanova radio	261.0		PLWptjpDqazOxe2mF-p9pVygevJQ_JmYZ2
167	xr bluesrock radio	532.0		PLWptjpDqazOwnAYyq67dIxm3lf7q1vCux
263	xr bluesrock	211.0		PLWptjpDqazOyRAC1qj8EyV15i1AtcCRIa
168	xr bluegrass radio	80.0		PLWptjpDqazOwtRi1RNDc1LXZf0yJVsGHV
264	xr bluegrass	109.0		PLWptjpDqazOzBK51Cor30APg41mvf5CqM
266	xr bigband radio	65.0		PLWptjpDqazOzEYqU0VkA-ofcWZ8jpO9bX
169	xr bassheavy radio	420.0		PLWptjpDqazOzKZEGwB7U4AiQ53pG9mDTX
217	xr bassheavy	42.0		PLWptjpDqazOwNa2uvyTomNHez2XNXYWrE
314	xr baroque radio	176.0		PLWptjpDqazOxAFEft4QAXkSrxiEiYLyIl
329	xr animemusic radio	247.0		PLWptjpDqazOwZNNekJbgJ-HqyqpQQoUho
172	xr ambientmusic albums	336.0		PLWptjpDqazOyeOvTS3agi1ktHV3RJeGl4
330	xr altcountry radio	241.0		PLWptjpDqazOxxnGNkBOPGoOwvfjma2xQ2
267	xr altcountry	52.0		PLWptjpDqazOzPFboSMDGDiilsvT6-BDFH
268	xr afrobeat radio	118.0		PLWptjpDqazOyLNlaElW4AI36alsyfCfDp
120	xr acidhouse	31.0		PLWptjpDqazOxMwX0OKw8q1P9qp5GOXOhQ
151	xr WorldMusic radio	745.0		PLWptjpDqazOzG64V8eP4Jg-n6P9STP-At
88	xr WorldMusic	19.0		PLWptjpDqazOxlU6HhWxMfUvPYiB2dLixD
188	xr VintageObscura radio	751.0		PLWptjpDqazOzx3Mtv_Rs3JXifuAFsptYv
21	xr VintageObscura	265.0		PLWptjpDqazOxCRv-BI5cEXMTtT8wm21KG
331	xr TropicalHouse radio	261.0		PLWptjpDqazOwRG4110bOm95i_dgHL8su-
135	xr Techno radio	367.0		PLWptjpDqazOziGGNoJ469KdbabQIgJbOA
332	xr SurfPunk radio	173.0		PLWptjpDqazOwwrBZDCszlk-IXu0p22njg
431	xr SurfPunk	24.0		PLWptjpDqazOzjALazwnM2sXl1PmaM5N3d
189	xr SpaceMusic radio	212.0		PLWptjpDqazOxGj_rV9vIPsASmecw_1G9Q
193	xr SoundsVintage radio	130.0		PLWptjpDqazOwIBICDxom1a2PfS_bL8YEN
142	xr SoundsVintage	264.0		PLWptjpDqazOzg-qvO-vEu8cxa6YXXv9fG
243	xr Samplehunters radio	23.0		PLWptjpDqazOwxUqgcJItuO9jNl3Jcg_fL
118	xr RootsMusic	91.0		PLWptjpDqazOzLoVTY4_ghLS-LXZGY4TEE
101	xr Rock	325.0		PLWptjpDqazOwNTc9f3s_J5m0T68-g5eVl
134	xr PunkRock radio	565.0	PRIVATE	PLWptjpDqazOxMRnK3_6JEn540vGoYddHb
144	xr PunkRock albums	266.0		PLWptjpDqazOyJ04Dg7Se1V-RMBc8VauzZ
219	xr PunkRock	38.0		PLWptjpDqazOyD8EdMeeTWlF2EkssJinl0
