videoId	title	album	artist
jtZQgt8JF2Q	Burn You Down	Clash the Truth	Beach Fossils
iAIncHfx_4s	Avalon Speedway	All Together Now	Beans
rBFu4oxTsXs	Lovesick Teenagers	Beast Rest Forth Mouth	Bear In Heaven
reP0aV_fVA0	Just a Little	The Best Of The Beau Brummels	Beau Brummels
bPOfNKZytMU	1000BPM	The Information	Beck
7o3NQnSvJZI	Chemtrails	Modern Guilt	Beck
YClsPg08Egg	Youthless	Modern Guilt	Beck
hgLUeBX-wIU	Hearts in the Night	Street Gospels	Bedouin Soundclash
KDJ5qqiQDto	Holiday	Bee Gees' 1st	Bee Gees
qPDmpSQjghA	Turn Of The Century	Bee Gees' 1st	Bee Gees
67EN2PCDpOM	Love You Inside Out	Greatest	Bee Gees
gdqVP35IQqQ	Too Much Heaven	Spirits Having Flown	Bee Gees
Fnxi7vUBh6g	To Love Somebody (Live Version)	Tales From The Brothers Gibb	Bee Gees
5g2bJbrwLmk	Nights On Broadway	The Ultimate Bee Gees	Bee Gees
lQkB4i0KQa8	How Deep Is Your Love	The Ultimate Bee Gees	Bee Gees
kkPUYIKA4eA	Nights On Broadway	Greatest	Bee Gees
TqjSpvwSM4M	Raymonds Road	Act One	Beggar's Opera
dN1iW-ee5I8	The Boy With The Arab Strap	The Boy With The Arab Strap	Belle & Sebastian
tsFE4zGPxM4	Feed the Tree	Star	Belly
iHrUUtKcUVo	Stand By Me (Original Artist re-recording)	1960s Happy Days	Ben E. King
Tm2e-u3HL5c	Little Red Book	Rockabilly Shakedown	Benny Joy
-9URZgAqeqo	Into The Night	Never Run Never Hide	Benny Mardones
QqJqwjdYh-A	Key Largo	Just Another Day in Paradise	Bertie Higgins
pEoAaiToHTs	Back to the Island	The Very Best of Trop Rock	Bertie Higgins
OSysuSf6w80	Take Me For A Buggy Ride	101 - The Best Of Vintage Blues	Bessie Smith
9v9NVjeMn3E	I Can't Stand It	Peachy Keen-O	Beth Anderson
ERj0XEA_kNc	Show	Out Of Season	Beth Gibbons
jl8Sx2mSbog	Shopping Trolley	Shopping Trolley	Beth Orton
gtZX56T6Bcc	Do You Want to Dance?	The Divine Miss M (Deluxe Version)	Bette Midler
k0Opj7oMn8g	Rearranging the Bones (25th Anniversary Re-Mastered Edition)	Surprise (25th Anniversary Re-Mastered Edition)	Better Than Ezra
sjV-R3JRBxw	Desperately Wanting	Friction Baby	Better Than Ezra
W8b4hPEN05I	If I'm In Luck I Might Get Picked Up	Betty Davis	Betty Davis
q4m563GvUCM	I Will Take That Ride (Previously Unreleased Bonus Track, 1974)	Betty Davis	Betty Davis
OVdL3p5LI8I	There's A Break In The Road	Soul Jazz Records Presents Betty Harris: The Lost Queen Of New Orleans Soul	Betty Harris
DZGc1IJKeiY	Shoorah! Shoorah!	Danger High Voltage	Betty Wright
NCLPoGbcSlI	Les Flots du Danube (feat. Stochelo Rosenberg)	Melodium Melodynamic	Biel Ballester Trio
isY5ffLNlxc	At The House Of Frankenstein	Frankenstein Horror	Big Bee Kornegay
5p8VqWjN358	Chantilly Lace	Rock'n'Roll & Jukebox Hits - 60 Originals From The 50s	Big Bopper
4JYMD2lyWzo	Set It Off	Long Live The Kane	Big Daddy Kane
NFAvExKyy_8	Little Leg Woman	Baby Please Don't Go (The Best of)	Big Joe Williams
OB5918A87GM	Little Leg Woman	The Very Best Of	Big Joe Williams
V-q7tOztDWs	Little Leg Woman	Rough Guide To Delta Blues (Vol.2)	Big Joe Williams
Ge7k51m8CPk	Gabbin' Blues (Don't Run My Business)	The Complete Okeh Sessions  1952-1955	Big Maybelle
lMeWNGZdhRc	Whole Lotta Shakin' Goin' On	Rock'n'Roll Hot Spices	Big Maybelle
PTmeZ0TgYO8	So Good To My Baby	The Complete Okeh Sessions  1952-1955	Big Maybelle
VFoTCRL52u8	Tres Leches (Triboro Trilogy) (feat. Prodigy & Inspektah Deck)	Capital Punishment	Big Punisher
nVHm1hOUIkw	Playback Singer	Memory Man	Big Spider's Back
JtbX95IH7go	Natty Cultural Dread	Natty Cultural Dread (Deluxe Remastered)	Big Youth
ieRH0VOSQ6E	Wolf in Sheep Clothing	Natty Cultural Dread (Deluxe Remastered)	Big Youth
N5pS_LB_Euc	Put Another Log On the Fire	Good Old Aussie Country	Bill & Boyd
IINWC2F2ETI	No Help Wanted	Super Tracks & Great Singers Vol. 12	Bill Carlisle
JmkSIpUgrmc	Love Is On The Way	Local Customs: Burned At Boddie	Bill Spoon
peHBbzICils	You Gotta Have a Ducktail	Teenage Rebels, Vol. 1	Billy Adams
SMIqbwiYOag	Wicked She Wicked	"Reggae Anthology: Henry ""Junjo"" Lawes - Volcano Eruption"	Billy Boyo
sHA54e9KP_4	Let S Go	Rockabilly BBQ, Vol. 3	Billy Eldridge
hf-5NE6WBNs	The Shag (Is Totally Cool)	It's a Hit! Blasts From '60s Past!	Billy Graves
O0Wpvl_tETE	I Wanna Bop	100 Rock Hits 50'	Billy Harlan
