title	artist	album	likeStatus	videoId	albumId	artistId	playlists
FLEX	Knox Brown	FLEX	INDIFFERENT	QUyBWPBRNFU	MPREb_OHWTkHys4FA	UC_1X5lUGqIDTy5mU7gvaXXw	soul kings and queens radio
Shooting Stars	Kelis	Wanderland	INDIFFERENT	y9iI7hptWoI	MPREb_iOOOVUS5ZK4	UCFRqSV8SWQwWtEIWknLyf0w	soul kings and queens radio
Let Me Know	Kadeem Tyrell	Let Me Know	INDIFFERENT	3LOOO11bevk	MPREb_SUv83RoPT5C	UCa3XO0GRtSYhURt50FvMxag	soul kings and queens radio
MANGO (feat. Adi Oasis)	KAMAUU	MANGO	INDIFFERENT	EXhd2eCi3GU	MPREb_n0H4fZ1YPKY	UCSozewH1MgeWjMKy9WU4T7g	soul kings and queens radio
Sweet Dreamz	K.Raydio	LucidDreamingSkylines	INDIFFERENT	3c7GN3jE8B4	MPREb_AV1h5lC8cxG	UCEtuLNM44ceaBjlRZp6PdgQ	soul kings and queens radio
Solitude	K, Le Maestro	Solitude	INDIFFERENT	dZttM6TjMSE	MPREb_1cz6rBYb4EI	UCSufKQOw1UgYUs740b6kncA	soul kings and queens radio
summer night o8	Justin Nozuka	summer night o8	INDIFFERENT	xunIolo8_-M	MPREb_ZnICgyuTK6t	UCppt69jDdMoRiYA-dFTYjgQ	soul kings and queens radio
Soweto Blues (feat. Busiswa & Jaz Karis)	Juls	Soweto Blues	INDIFFERENT	8FSEx9IVmt4	MPREb_zCvR4KJDhE7	UCyDRkXhMaFqALu4hYdiOkPw	soul kings and queens radio
Blessed (feat. Miraa May & Donae'o)	Juls	Blessed	INDIFFERENT	lMU1yVy2-sM	MPREb_339dLvdppGP	UCyDRkXhMaFqALu4hYdiOkPw	soul kings and queens radio
Rocket Science	Joyce Wrice	Rocket Science	INDIFFERENT	89UxBDjXlfw	MPREb_HEk2us8Xnkt	UCTz-UDe3wrACxh2cB3YvLwA	soul kings and queens radio
Yah / Element (Medley)	Joy Crookes	Yah / Element (Medley)	INDIFFERENT	3KjNi__lrTM	MPREb_wPoHuU1RZAM	UCaJzzZj8qhcj1FCTnXFbdhw	soul kings and queens radio
Mother May I Sleep With Danger?	Joy Crookes	Influence EP	INDIFFERENT	JyEY7sT0wWQ	MPREb_NYxLZKRn47u	UCaJzzZj8qhcj1FCTnXFbdhw	soul kings and queens radio
Bad Feeling	Joy Crookes	Influence EP	INDIFFERENT	AjIUxmcOyj0	MPREb_NYxLZKRn47u	UCaJzzZj8qhcj1FCTnXFbdhw	soul kings and queens radio
Loving You	Joshua J	Loving You	INDIFFERENT	nHGFvFI6JN8	MPREb_KwCQbBSed0L	UCqXB_brM9U5IMVs5qOPsriA	soul kings and queens radio
Imperfect Circle	Jorja Smith	Project 11	INDIFFERENT	7g1ozPfX3Kg	MPREb_DDnsVNI0j95	UC2jJdNE6vzv_lv18QOfjUyQ	soul kings and queens radio
Lifeboats (Freestyle)	Jorja Smith	Lost & Found	INDIFFERENT	90k8MvVphOw	MPREb_mu9j1WTWZgE	UC2jJdNE6vzv_lv18QOfjUyQ	soul kings and queens radio
Fine Lines	Jorja Smith	Insecure: Music from the HBO Original Series, Season 2	INDIFFERENT	hUqwVO7npXg	MPREb_yy45xXhYiuh	UC2jJdNE6vzv_lv18QOfjUyQ	soul kings and queens radio
By Any Means	Jorja Smith	By Any Means	INDIFFERENT	PRG4B4Uh7-4	MPREb_aL8SVpM7ber	UC2jJdNE6vzv_lv18QOfjUyQ	soul kings and queens radio
Bussdown (feat. Shaybo)	Jorja Smith	Be Right Back	INDIFFERENT	4S0SX_PeuGk	MPREb_nqVh088FSof	UC2jJdNE6vzv_lv18QOfjUyQ	soul kings and queens radio
TEACH ME	Jordan Stephens	P.I.G.	INDIFFERENT	E4lVWz66vkw	MPREb_qNAhIAiNYwh	UCfkzgbEcx2RqByr2d3UW1BQ	soul kings and queens radio
Tawo	Jordan Rakei	Cloak	INDIFFERENT	87G6xloMWts	MPREb_jUtVWJTtzGu	UC2VUdY3v6_24rc1QUE2lZog	soul kings and queens radio
Archetype (feat. O the ghost)	Joe Armon-Jones	Archetype	INDIFFERENT	YuG9QMJIWdA	MPREb_DIo26uodWWk	UCCRrPMekimW3qLJ0njM1izQ	soul kings and queens radio
Let's Stay Home Tonight	Joe	Better Days	INDIFFERENT	cLOopuzOoHo	MPREb_Frrym41DXpM	UC-9SO9Ma88jetxo-W3YZLYg	soul kings and queens radio
Gettin' In the Way	Jill Scott	Who Is Jill Scott? - Words and Sounds, Vol. 1	INDIFFERENT	cTq4fPIFWUw	MPREb_yypGkaxffbQ	UCYAoAgoEY3HPmybt1JxsT9Q	soul kings and queens radio
Frequency	Jhené Aiko	Trip	INDIFFERENT	neqS9TnJ3zU	MPREb_HyuwH5pj6cZ	UCZONOh3FvcDpTcsnDRsr7OQ	soul kings and queens radio
Summer 2020	Jhené Aiko	Chilombo (Deluxe)	INDIFFERENT	a-Nd71D4zkM	MPREb_dOnkLjFGqWj	UCZONOh3FvcDpTcsnDRsr7OQ	soul kings and queens radio
Don't Make Me (feat. Eliza)	Jesse James Solomon	Strata	INDIFFERENT	QuI1Bhwslhw	MPREb_SxuvSLsS4MG	UCLlB-TsHn9J11P82hP5DULQ	soul kings and queens radio
Sauce	Jerome Thomas	That Secret Sauce	INDIFFERENT	iOVf--ll5ow	MPREb_ukbLB25402Z	UCS3Ig_q-3arvHVbiUm07FPw	soul kings and queens radio
Bruises	Jerome Thomas	Mood Swings, Vol. 1	INDIFFERENT	qa9rCPkuYcA	MPREb_t4ra6e1CcQh	UCS3Ig_q-3arvHVbiUm07FPw	soul kings and queens radio
